ﾗｼｸﾗｽ池袋201,東京都豊島区西池袋2-24-7 ﾗｼｸﾗｽ池袋201
ﾗｼｸﾗｽ池袋202,東京都豊島区西池袋2-24-7 ﾗｼｸﾗｽ池袋202
ﾗｼｸﾗｽ池袋301,東京都豊島区西池袋2-24-7 ﾗｼｸﾗｽ池袋301
ﾗｼｸﾗｽ池袋302,東京都豊島区西池袋2-24-7 ﾗｼｸﾗｽ池袋302
ﾗｼｸﾗｽ池袋401,東京都豊島区西池袋2-24-7 ﾗｼｸﾗｽ池袋401
ﾗｼｸﾗｽ池袋402,東京都豊島区西池袋2-24-7 ﾗｼｸﾗｽ池袋402
ﾜｰﾙﾄﾞｳｨﾝｸﾞﾋﾞﾙﾃﾞｨﾝｸﾞ301,東京都豊島区巣鴨4-19-8 ﾜｰﾙﾄﾞｳｨﾝｸﾞﾋﾞﾙﾃﾞｨﾝｸﾞ301
ﾜｰﾙﾄﾞｳｨﾝｸﾞﾋﾞﾙﾃﾞｨﾝｸﾞ303,東京都豊島区巣鴨4-19-8 ﾜｰﾙﾄﾞｳｨﾝｸﾞﾋﾞﾙﾃﾞｨﾝｸﾞ303
ﾜｰﾙﾄﾞｳｨﾝｸﾞﾋﾞﾙﾃﾞｨﾝｸﾞ501,東京都豊島区巣鴨4-19-8 ﾜｰﾙﾄﾞｳｨﾝｸﾞﾋﾞﾙﾃﾞｨﾝｸﾞ501
ユウトヴィレッジ南長崎,東京都豊島区南長崎2-22-16 ユウトヴィレッジ南長崎
クレスト池袋302,東京都豊島区池袋3-62-7 クレスト池袋302
ｻﾝﾊｲﾂ池袋302,東京都豊島区南池袋2-47-7 ｻﾝﾊｲﾂ池袋302
M130003743,東京都豊島区目白3-5-16 1F
M130003745,東京都豊島区目白3-5-16 4F
クレスト池袋201,東京都豊島区池袋3-62-7 クレスト池袋201
南大塚アパート101,東京都豊島区南大塚1-28-9 南大塚アパート101
南大塚アパート102,東京都豊島区南大塚1-28-9 南大塚アパート102
南大塚アパート202,東京都豊島区南大塚1-28-9 南大塚アパート202
池袋ﾊﾟｰｸﾊｲﾂ1405,東京都豊島区東池袋2-60-2 池袋ﾊﾟｰｸﾊｲﾂ1405
ｴﾇｴｽｹﾞｰﾄ池袋102,東京都豊島区池袋1-12-13 ｴﾇｴｽｹﾞｰﾄ池袋102
