M260009064,京都市中京区油小路通二条下る二条油小路町２９３番地，２９１番地 
M260009055,京都市下京区西洞院通五条下る小柳町４９６番地７ 
M260009057,京都市下京区三ノ宮町通七条上る下三之宮町２８７番地６ 
M260009120,京都市左京区浄土寺真如町１１７番地 
M260009384,京都市中京区壬生賀陽御所町５４番地１０ 
M260009114,京都市山科区東野中井ノ上町７番地２，７番地３ 
M260009747,京都市北区大宮西山ノ前町２５番地 
M260009565,京都市西京区川島寺田町１７番地１７ 
M260009750,京都市上京区御前通下立売上る三丁目西上之町２６６番地２ 
M260009763,京都市右京区鳴滝音戸山町４番地１６ 
M260009880,京都市左京区浄土寺真如町１１５番地 
M260009896,京都市東山区東大路通松原上る四丁目毘沙門町３７番地５ 
M260010026,京都市右京区龍安寺衣笠下町５番地６ 
M260010074,京都市山科区御陵黒岩１９番地１１，２１番地１２ 
M260010204,京都市右京区嵯峨大覚寺門前堂ノ前町５番地３ 
M260010418,京都市中京区三条通堀川西入橋西町６７５番地３ 
M260010368,京都市下京区七条通間之町東入材木町４７１番地１０ 
M260010546,京都市北区衣笠西馬場町４３番地１７ 
M260010661,京都市伏見区醍醐北端山２５番地２３ 
M260010882,京都市北区鷹峯光悦町６番地１ 
M260010733,京都市伏見区深草西浦町五丁目３２番地７ 
M260010904,京都市左京区田中南西浦町７３番地２１，７３番地２６ 
M260010990,京都市南区西九条川原城町９１番地２　１０１号室 
M260010991,京都市南区西九条川原城町９１番地２　２０１号室 
M260011383,京都市中京区西洞院通六角下る池須町４１９番地６ 
M260011560,京都市北区小山下総町２９番地１ 
M260011557,京都市上京区下立売通千本西入稲葉町４５４番地，４５２番地　ハイツオバタ１０１号室 
M260011524,京都市左京区吉田中大路町３４番地 
M260011525,京都市東山区本町通五条下る本町三丁目９４番地１２，９４番地１３，９４番地１４，９４番地１５ 
M260011526,京都市東山区大和大路通四条下る四丁目小松町５７０番地２９，５７０番地３０ 
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ａ－ｏｎｅビル,京都市下京区猪熊通木津屋橋下る金換町８５番地 Ａ－ｏｎｅビル
Ｆ・グロース２０３,京都市下京区富小路通五条上る本神明町４１９番地 Ｆ・グロース２０３
Ｆ・グロース２０５,京都市下京区富小路通五条上る本神明町４１９番地 Ｆ・グロース２０５
Ｆ・グロース２０６,京都市下京区富小路通五条上る本神明町４１９番地 Ｆ・グロース２０６
ＪＵＲＡＫＵ　ＲＯ,京都市上京区一条通浄福寺東入北新在家町３２０ ＪＵＲＡＫＵ　ＲＯ
ＪＵＲＡＫＵ　ＲＯ２０１,京都市上京区一条通浄福寺東入北新在家町３２０番地 ＪＵＲＡＫＵ　ＲＯ２０１
ＪＵＲＡＫＵ　ＲＯ２０３,京都市上京区一条通浄福寺東入北新在家町３２０番地 ＪＵＲＡＫＵ　ＲＯ２０３
ＪＵＲＡＫＵ　ＲＯ２０４,京都市上京区一条通浄福寺東入北新在家町３２０番地 ＪＵＲＡＫＵ　ＲＯ２０４
ＪＵＲＡＫＵ　ＲＯ４０１,京都市上京区一条通浄福寺東入北新在家町３２０番地 ＪＵＲＡＫＵ　ＲＯ４０１
ＪＵＲＡＫＵ　ＲＯ４０２,京都市上京区一条通浄福寺東入北新在家町３２０番地 ＪＵＲＡＫＵ　ＲＯ４０２
ＪＵＲＡＫＵ　ＲＯ４０４,京都市上京区一条通浄福寺東入北新在家町３２０番地 ＪＵＲＡＫＵ　ＲＯ４０４
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ１０１号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ１０１号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ２０１号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ２０１号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ２０３号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ２０３号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ３０１号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ３０１号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ３０２号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ３０２号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ３０３号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ３０３号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ４０１号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ４０１号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ４０２号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ４０２号
Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ４０３号,京都市東山区広道通松原上る四丁目毘沙門町４４番地１６ Ｋｙｏｔｏ　Ｇｉｏｎ　Ｔｏｕｒｉｓｔ　Ｈｏｕｓｅ４０３号
Ｏｐｔｉｍａ御所西藪之内町１０１号,京都市上京区下長者町通新町西入藪之内町７７番地６ Ｏｐｔｉｍａ御所西藪之内町１０１号
ＳＡＫＩＺＯ東野ビル２０１,京都市山科区東野中井ノ上町１番地２５ ＳＡＫＩＺＯ東野ビル２０１
ＳＡＫＩＺＯ東野ビル２０２,京都市山科区東野中井ノ上町１番地２５ ＳＡＫＩＺＯ東野ビル２０２
ＳＡＫＩＺＯ東野ビル２０３,京都市山科区東野中井ノ上町１番地２５ ＳＡＫＩＺＯ東野ビル２０３
ＳＡＫＩＺＯ東野ビル２０５,京都市山科区東野中井ノ上町１番地２５ ＳＡＫＩＺＯ東野ビル２０５
ＳＡＫＩＺＯ東野ビル２０６,京都市山科区東野中井ノ上町１番地２５ ＳＡＫＩＺＯ東野ビル２０６
ＳＡＫＩＺＯ東野ビル２０７,京都市山科区東野中井ノ上町１番地２５ ＳＡＫＩＺＯ東野ビル２０７
Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園１０３号室,京都市東山区広道通松原上る四丁目毘沙門町４４番地５１，４４番地５２ Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園１０３号室
Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園１０５号室,京都市東山区広道通松原上る四丁目毘沙門町４４番地５１，４４番地５２ Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園１０５号室
Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園５０３号室,京都市東山区広道通松原上る四丁目毘沙門町４４番地５１，４４番地５２ Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園５０３号室
Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園５０４号室,京都市東山区広道通松原上る四丁目毘沙門町４４番地５１，４４番地５２ Ｓｕｎ　Ｓｈｉｎｅ　ＥＡＳＴ　祇園５０４号室
Ｖｉｌｌａパークサイド２０５号室,京都市下京区西新屋敷上之町１２４番地１ Ｖｉｌｌａパークサイド２０５号室
Ｖｉｌｌａパークサイド２０８号室,京都市下京区西新屋敷上之町１２４番地１ Ｖｉｌｌａパークサイド２０８号室
Ｖｉｌｌａパークサイド２１１号室,京都市下京区西新屋敷上之町１２４番地１ Ｖｉｌｌａパークサイド２１１号室
Ｖｉｌｌａパークサイド２１２号室,京都市下京区西新屋敷上之町１２４番地１ Ｖｉｌｌａパークサイド２１２号室
アーバンカワキ４０６号室,京都市上京区千本通上長者町上る百万遍町８８番地，９０番地 アーバンカワキ４０６号室
アネックス２１　１０１,京都市下京区新町通七条上る辰巳町７４０番地１，７４４番地 アネックス２１　１０１
アネックス２１　１０２,京都市下京区新町通七条上る辰巳町７４０番地１，７４４番地 アネックス２１　１０２
アネックス２１　１０３,京都市下京区新町通七条上る辰巳町７４０番地１，７４４番地 アネックス２１　１０３
アネックス２１　１０５,京都市下京区新町通七条上る辰巳町７４０番地１，７４４番地 アネックス２１　１０５
アネックス２１　２０１,京都市下京区新町通七条上る辰巳町７４０番地１，７４４番地 アネックス２１　２０１
アビタシオン庵１０３号室,京都市伏見区京町五丁目１０４番地６，１０４番地９ アビタシオン庵１０３号室
アビタシオン庵２０２号室,京都市伏見区京町五丁目１０４番地６，１０４番地９ アビタシオン庵２０２号室
ヴィオレッタ五条２０３号,京都市東山区新宮川町通松原下る西御門町４７４番地１，４７０番地３，４７０番地４ ヴィオレッタ五条２０３号
ヴィオレッタ五条３０２号,京都市東山区新宮川町通松原下る西御門町４７４番地１，４７０番地３，４７０番地４ ヴィオレッタ五条３０２号
